phrase,thing,t_s,t_e,place,p_s,p_e,rating
tasty fruit seasonal selection Light House Restaurant,fruit seasonal selection ,6,32,Light House Restaurant,31,54,tasty
Dunkin Donuts vin blanc pouilly fuiss a forest okay,vin blanc pouilly fuiss a forest ,14,48,Dunkin Donuts,0,14,okay
Pakeeza kalt puterbrust und coburger schinken bad,kalt puterbrust und coburger schinken,8,46,Pakeeza,0,8,bad
les lgumes de nos jardins El Arco De Palmar was bomb,les lgumes de nos jardins,0,26,El Arco De Palmar,26,44,was bomb
my melon avec la viande sechee des grisons at Dosirak was okay,melon avec la viande sechee des grisons,3,43,Dosirak,46,54,okay
the seared red snapper filet with a rosace of spring vegetables and plum tomatoes I had at Naha Restaurant was bad,seared red snapper filet with a rosace of spring vegetables and plum tomatoes,4,82,Naha Restaurant,91,107,bad
cepe provencale Amstar Fuel Mini Mart acceptable,cepe provencale,0,16,Amstar Fuel  Mini Mart,-1,22,acceptable
the er wehlener munzlay naturrein at El Arco De Palmar is okay,er wehlener munzlay naturrein,4,34,El Arco De Palmar,37,55,okay
the lotte rotie a la moutarde de meaux sur lit de laitue at Chicagos Pizza is delicious,lotte rotie a la moutarde de meaux sur lit de laitue,4,57,Chicagos Pizza,60,75,delicious
the hot corn beef sandwich at Horace Mann Elementary is not that bad,hot corn beef sandwich,4,27,Horace Mann Elementary,30,53,not that bad
The Roost Carolina Kitchen's perriers french sparkling water is not that bad,perriers french sparkling water,29,61,The Roost Carolina Kitchen,0,27,not that bad
I thought the enchiladas breast of chicken enchiladas served with red sauce at Reno was sucked,enchiladas   breast of chicken enchiladas served with red sauce,-1,63,Reno,79,84,sucked
Sirad's vermouth and cassis is was bomb,vermouth and cassis,8,28,Sirad,0,6,was bomb
omelette confiture Jewell At good,omelette confiture,0,19,Jewell At ,19,30,good
Mcdonalds's black angel hair pasta with shrimp is okay,black angel hair pasta with shrimp,12,47,Mcdonalds,0,10,okay
my new york strip steak for the queen size appetite oz at Greek Islands Restaurant was bad,new york strip steak  for the queen size appetite  oz,-1,53,Greek Islands Restaurant,58,83,bad
The Kitchen Chicago sandwich roquefort cheese delicious,sandwich  roquefort cheese,-1,26,The Kitchen Chicago,0,20,delicious
pate a chou with sweetbreads Lion Head Pub acceptable,pate a chou with sweetbreads,0,29,Lion Head Pub,29,43,acceptable
good lettvce salad Sub Brother,lettvce salad,5,19,Sub Brother,19,31,good
Nico scallops alexandra not that bad,scallops alexandra,5,24,Nico,0,5,not that bad
I thought the gansbraten at The Grove was bad,gansbraten,14,25,The Grove,28,38,bad
the mixed fish pecarese I had at Feast was could have been better,mixed fish pecarese,4,24,Feast,33,39,could have been better
my lynn haven at Phillips was could have been better,lynn haven,3,14,Phillips ,17,27,could have been better
the viennoises de bar at Vanille Pattisserie is okay,viennoises de bar,4,22,Vanille Pattisserie,25,45,okay
Good Stuff Eatery blue points on the halfshell sucked,blue points on the halfshell,18,47,Good Stuff Eatery,0,18,sucked
my cream carmen soup at Bridgeport Family Restaurant was could have been better,cream carmen soup,3,21,Bridgeport Family Restaurant,24,53,could have been better
the half plain lobster I had at Banis Beets was not that good,half plain lobster,4,23,Banis Beets,32,44,not that good
not that bad filetsteak mit kartoffeln La Cabana De Don Luis,filetsteak mit kartoffeln,13,39,La Cabana De Don Luis ,-1,22,not that bad
the ch branecantenac cantenac I had at Steadfast Restaurant was acceptable,ch branecantenac cantenac ,4,31,Steadfast Restaurant,39,60,acceptable
my chateau le trochet at Club Nutricional was not that good,chateau le trochet ,3,23,Club Nutricional,25,42,not that good
my sugar omelette at Subway was acceptable,sugar omelette,3,18,Subway,21,28,acceptable
not that bad pea or bean soup Cuernavaca Restaurant Inc,pea or bean soup,13,30,Cuernavaca Restaurant Inc,30,56,not that bad
I thought the lhabitant des rochers flambe a labsinthe at Supermercado Martinez was okay,lhabitant des rochers flambe a labsinthe,14,55,Supermercado Martinez,58,80,okay
Giordanos On Sheridan's courseulles butter is not that good,courseulles butter,24,43,Giordanos On Sheridan,0,22,not that good
I thought the leigerte krebssuppe hamburger art at Zanzabar was was bomb,leigerte krebssuppe hamburger art,14,48,Zanzabar,51,60,was bomb
my port jelly at Lee Elementary was tasty,port jelly,3,14,Lee Elementary,17,32,tasty
my canadian ginger ale at Billys Goats was could have been better,canadian ginger ale,3,23,Billys Goats,26,39,could have been better
the nordseescholle gebacken mit kartoffelgurkensalat at La Pena Restaurante is decent,nordseescholle gebacken mit kartoffelgurkensalat,4,53,La Pena Restaurante,56,76,decent
my lambs fries a lespagnole at Stanleys Restaurant was was bomb,lambs fries a lespagnole,3,28,Stanleys Restaurant,31,51,was bomb
Siam Rice Thai Cuisine's harlequin french is tasty,harlequin french,25,42,Siam  Rice Thai Cuisine,-1,23,tasty
my roast manitoba turkey at Mayflower Food was okay,roast manitoba turkey,3,25,Mayflower Food,28,43,okay
Midway Pour House's sparkling hock wine is sucked,sparkling hock wine,20,40,Midway Pour House,0,18,sucked
medford Dorothys Liquors Inc not that bad,medford,0,8,Dorothys Liquors Inc,8,29,not that bad
lamb chop cardinalice Headline News Stand Inc tasty,lamb chop cardinalice,0,22,Headline News Stand Inc,22,46,tasty
the schaefer lager I had at Cockrell Cpc was okay,schaefer lager,4,19,Cockrell Cpc,28,41,okay
Chuck e Cheese's crabes du maryland is tasty,crabes du maryland,17,36,Chuck e Cheese,0,15,tasty
New Zaika Restaurant Inc's lobster meat lo mein is was bomb,lobster meat lo mein,27,48,New Zaika Restaurant Inc,0,25,was bomb
the le toast de loncle hansi I had at Phillys Best was bad,le toast de loncle hansi,4,29,Phillys Best,38,51,bad
Grand Palace caneton roti aux peches pour deux good,caneton roti aux peches pour deux,13,47,Grand Palace,0,13,good
I thought the insalatina at st Meat Market was delicious,insalatina,14,25,st Meat Market,28,43,delicious
maine lobster cocktail Varela Grocery good,maine lobster cocktail,0,23,Varela Grocery,23,38,good
greenages Dox Quality Greek tasty,greenages,0,10,Dox Quality Greek,10,28,tasty
costata di manzo al rafano Butterfly terrible,costata di manzo al rafano,0,27,Butterfly,27,37,terrible
acceptable hock sparkling white wine China Grill,hock sparkling white wine,11,37,China Grill,37,49,acceptable
my spiced pickles at Intro was not that bad,spiced pickles,3,18,Intro,21,27,not that bad
the royal pheasant en casserole I had at Summers Palace was tasty,royal pheasant en casserole,4,32,Summers Palace,41,56,tasty
the zeitlinger schloss at Alexias Fresh Market is was bomb,zeitlinger schloss,4,23,Alexias Fresh Market,26,47,was bomb
the lenguado a la meuniere at Einstein Bros Bagels is sucked,lenguado a la meuniere,4,27,Einstein Bros Bagels ,30,52,sucked
the fresh fennel at Bonitas Food Inc is sucked,fresh fennel,4,17,Bonitas Food Inc,20,37,sucked
Jaks Tap's corned beaf is could have been better,corned beaf,11,23,Jaks Tap,0,9,could have been better
my brussels chicoree au jus at Jj Fish Grocery Inc was sucked,brussels chicoree au jus,3,28,Jj Fish  Grocery Inc,-1,20,sucked
my stewed honeycomb tripe creole at Xl Wireless was okay,stewed honeycomb tripe creole,3,33,Xl Wireless,36,48,okay
I thought the fried squabs at John Hope College Prep School was not that good,fried squabs,14,27,John Hope College Prep School,30,60,not that good
toasted cheese barquettes Chilis T not that good,toasted cheese barquettes,0,26,Chilis T  ,-1,10,not that good
I thought the eggs poch henri iv at Young Achievers Academy was decent,eggs poch henri iv,14,33,Young Achievers Academy,36,60,decent
caledonia pudding Swirlz Cupcakes could have been better,caledonia pudding,0,18,Swirlz Cupcakes,18,34,could have been better
broiled jumbo squab with fresh spring vegetables Unforgettable Edibles tasty,broiled jumbo squab with fresh spring vegetables,0,49,Unforgettable Edibles,49,71,tasty
the tandoori pomfret pomfret marinated in special yoghurt mixture at Taqueria Y Restaurant La Sabrosita is good,tandoori pomfret pomfret marinated in special yoghurt mixture,4,66,Taqueria Y Restaurant La Sabrosita,69,104,good
not that bad rissolees Hops And Barley,rissolees,13,23,Hops And Barley,23,39,not that bad
eggs with tongue Mays Elementary tasty,eggs with tongue,0,17,Mays Elementary,17,33,tasty
the beaujolaisvillages at Short Stuff Chicago is tasty, beaujolaisvillages,3,23,Short Stuff Chicago,26,46,tasty
endive au parmesan Mcdonalds acceptable,endive au parmesan,0,19,Mcdonalds,19,29,acceptable
the banana blamange I had at St Hilary Elementary School was terrible,banana blamange,4,20,St Hilary Elementary School,29,57,terrible
the stuffed peaches at Tortas Frontera is sucked,stuffed peaches,4,20,Tortas Frontera,23,39,sucked
terrible liquid bread Wendys,liquid bread,9,22,Wendys,22,29,terrible
I thought the chaud pouding caroline at Central Bakery was delicious,chaud pouding caroline,14,37,Central Bakery,40,55,delicious
the les petites tomates I had at Southloop Kindercare was sucked,les petites tomates,4,24,Southloop Kindercare,33,54,sucked
I thought the wild mountain blackberry parfait at eleven was decent,wild mountain blackberry parfait,14,47,eleven,50,57,decent
Polk Street Co clay pot chicken country style terrible,clay pot chicken country style,15,46,Polk Street Co,0,15,terrible
Five Starz Food Mart Company paillettes not that good,paillettes,29,40,Five Starz Food Mart Company,0,29,not that good
Rise Up Early Childhood's masthuhn in curry mit chutney und reis is not that good,masthuhn in curry mit chutney und reis,26,65,Rise Up Early Childhood,0,24,not that good
not that bad chaud froid a lecossaise A One Food And Beauty Supplies,chaud froid a lecossaise,13,38,A One Food And Beauty Supplies,38,69,not that bad
my cold jellied consomme at Mcdonalds was okay,cold  jellied consomme,-1,22,Mcdonalds,28,38,okay
I thought the young chow fried rice at Martini Club was bad,young chow fried rice,14,36,Martini Club,39,52,bad
the potage tortue verte a langlaise at Pizzeria Due is okay,potage tortue verte a langlaise,4,36,Pizzeria Due,39,52,okay
acceptable toasted cocoanut curls Host International Inc,toasted cocoanut curls,11,34,Host International Inc,34,57,acceptable
not that good saddle rocks shell roast Pompei,saddle rocks shell roast,14,39,Pompei,39,46,not that good
my blatterteigpastete a la financiere at Morsel was terrible,blatterteigpastete a la financiere,3,38,Morsel,41,48,terrible
my fricadel at El Macho Tacos was terrible,fricadel,3,12,El Macho Tacos,15,30,terrible
I thought the broiled veal kidneys english style at Ohare Bar was tasty,broiled veal kidneys english style,14,49,Ohare Bar,52,62,tasty
El Taconazo Restaurant's preserved pineapple is okay,preserved pineapple ,25,46,El Taconazo Restaurant,0,23,okay
I thought the tivoli at Oasis Cafe was not that good,tivoli,14,21,Oasis Cafe ,24,36,not that good
I thought the imported white asparagus vinaigrette salad at Vincennes Market Communication was good,imported white asparagus vinaigrette salad,14,57,Vincennes Market  Communication,-1,31,good
Duks Red Hots diced ham salad bad,diced ham salad,14,30,Duks Red Hots,0,14,bad
Ruth Kaplan gedampfte kalbsfiletscheiben mit kleinen gemusen decent,gedampfte kalbsfiletscheiben mit kleinen gemusen,12,61,Ruth Kaplan,0,12,decent
good roast jersey pork with sweet potatoes and apple sauce Nuts On Clark,roast jersey pork with sweet potatoes and apple sauce,5,59,Nuts On Clark,59,73,good
hahn mit gemusen garniert Taqueria Kairos delicious, hahn mit gemusen garniert,-1,26,Taqueria Kairos,26,42,delicious
the vegetable lunch I had at Subway Sandwiches And Salad was delicious,vegetable lunch ,4,21,Subway Sandwiches And Salad,29,57,delicious
delicious laitance sur croute Aruns Thai Restaurant,laitance sur croute,10,30,Aruns Thai Restaurant,30,52,delicious
the tomato farce I had at Als Beef was sucked,tomato farce,4,17,Als Beef,26,35,sucked
the sweetbreads glace with mushrooms I had at Childrens Creative Center Inc was tasty,sweetbreads glace with mushrooms,4,37,Childrens Creative Center Inc,46,76,tasty
islandske kryddersild A Lot To Save Food delicious,islandske kryddersild,0,22,A Lot To Save Food,22,41,delicious
Abiquiu Cafe Inc fagioli toscani not that bad,fagioli toscani,17,33,Abiquiu Cafe Inc,0,17,not that bad
I thought the almond cheese cake at North Center For Handicapped was not that good,almond cheese cake,14,33,North Center For Handicapped,36,65,not that good
I thought the sp chicken at Dollop Coffee was delicious,sp chicken,14,25,Dollop Coffee,28,42,delicious
I thought the eperlans beurre persill at Parkside Community Elementary was sucked,eperlans beurre persill,14,38,Parkside Community Elementary,41,71,sucked
bad green apple cobbler a la mode Casa Central Community Service,green apple cobbler a la mode,4,34,Casa Central Community Service,34,65,bad
okay percolator coffee Love Is Caring Day Care Center Inc,percolator coffee,5,23,Love Is Caring Day Care Center Inc,23,58,okay
The Hartwell's lettuce or romaine salad is sucked,lettuce or romaine salad,15,40,The Hartwell,0,13,sucked
the avensan red bordeaux own importation from cafe voisin I had at Lucils Homemade was terrible,avensan red bordeaux own importation from cafe voisin,4,58,Lucils Homemade,67,83,terrible
Swedish Covenant Hospital's heidsieck co monopole sec is acceptable,heidsieck  co monopole sec,-1,26,Swedish Covenant Hospital,0,26,acceptable
The Goddess Lincoln Park's croqueenbouche la glace is not that good,croqueenbouche  la glace,-1,24,The Goddess Lincoln Park,0,25,not that good
terrible kidney brochette in crumbs Salernos,kidney brochette in crumbs,9,36,Salernos,36,45,terrible
bad broiled large sirloin Yolk Cafe,broiled large sirloin,4,26,Yolk Cafe,26,36,bad
Harolds Chicken 's ruhreier schwedisch is good,ruhreier schwedisch,19,39,Harolds Chicken ,0,17,good
I thought the lemon ice at Mas Alla Del Sol was could have been better,lemon ice,14,24,Mas Alla Del Sol,27,44,could have been better
my gooseliver parfait of strasbourg at White Castle System Inc was not that good,gooseliver parfait of strasbourg,3,36,White Castle System Inc,39,63,not that good
I thought the salad boulevard at Pinks Child Care Academy Iii was not that good,salad boulevard,14,30,Pinks Child Care Academy Iii,33,62,not that good
bad hot apple pie with ice cream Browntrout,hot apple pie with ice cream,4,33,Browntrout,33,44,bad
I thought the glas rotwein at Garfield Food was okay,glas rotwein,14,27,Garfield Food,30,44,okay
tasty spanferkelrucken vom grill mit apfelschalottenconfit lingurischem spinat und kartoffelpuree Fornettomei On Grant,spanferkelrucken vom grill mit apfelschalottenconfit lingurischem spinat und kartoffelpuree,6,98,Fornettomei On Grant,98,119,tasty
I thought the cocktail de crabe frais at Sports Corner was not that good,cocktail de crabe frais,14,38,Sports Corner,41,55,not that good
the eichlers pilsner lager beer I had at Cvs was decent,eichlers pilsner lager beer,4,32,Cvs,41,45,decent
bad confitures assorties Cellars Market,confitures assorties,4,25,Cellars Market,25,40,bad
the pices montes I had at Pizza Hut was delicious,pices montes,4,17,Pizza Hut ,26,37,delicious
I thought the escalopes de cabillaud panees au beurre at El Patroncito Taqueria Inc was not that bad,escalopes de cabillaud panees au beurre,14,54,El Patroncito Taqueria Inc,57,84,not that bad
the fancy jumbo queen olives at Kingstons Jerk Chicken is could have been better,fancy jumbo queen olives,4,29,Kingstons Jerk Chicken,32,55,could have been better
Dunkin Donuts's norwegischer fjordlachs gekocht is not that bad,norwegischer fjordlachs gekocht,16,48,Dunkin Donuts,0,14,not that bad
chauvin sparkling burgundy Spark Shared Kitchen not that bad,chauvin sparkling burgundy,0,27,Spark Shared Kitchen,27,48,not that bad
clicquot veuve champagne Bar Cocina terrible,clicquot veuve champagne,0,25,Bar Cocina,25,36,terrible
the goat cheese salad I had at Milts Bbq was was bomb,goat cheese salad  ,-1,19,Milts Bbq,31,41,was bomb
Sol De Sur's branneberger is terrible,branneberger,13,26,Sol De Sur,0,11,terrible
okay loin lamb chop Dib Sushi Bar And Thai Cuisine,loin lamb chop,5,20,Dib Sushi Bar And Thai Cuisine,20,51,okay
the preserved grapes at Simpson Academy is acceptable,preserved grapes,4,21,Simpson Academy,24,40,acceptable
Tropical Taste cold consomme cup could have been better,cold consomme cup,15,33,Tropical Taste,0,15,could have been better
I thought the steamed filet of haddock at rd Food Liquor was sucked,steamed filet of haddock,14,39,rd Food  Liquor,-1,15,sucked
my cervelles de veau au beurre noisette calfs brains poached and sliced at Hong Kong Buffet Corporation was could have been better,cervelles de veau au beurre noisette calfs brains poached and sliced,3,72,Hong Kong Buffet Corporation,75,104,could have been better
the insalata dello chef mesculum salad with grilled portobello at Ramada Lake Shore Inn is terrible,insalata dello chef  mesculum salad with grilled portobello,-1,59,Ramada Lake Shore Inn,66,88,terrible
I thought the duchesse with cream at Mccormick Place Lakeside Center Savor was bad,duchesse with cream,14,34,Mccormick Place Lakeside Center Savor,37,75,bad
Star Grill's potted apple pudding is not that good,potted apple pudding,13,34,Star  Grill,-1,11,not that good
my choucroute royale alsacienne alsatian royal choucroute at Bobos Hot Dogs was delicious,choucroute royale alsacienne alsatian royal choucroute,3,58,Bobos Hot Dogs,61,76,delicious
I thought the half alligator pear stuffed with shrimp at Crisp was was bomb,half alligator pear stuffed with shrimp,14,54,Crisp,57,63,was bomb
the butterscotch sundae at La Cabana De Don Luis is sucked,butterscotch sundae,4,24,La Cabana De Don Luis ,27,50,sucked
The Brealfast Lounge luncheon buffet is available for your convenience monday thru friday sucked,luncheon buffet is available for your convenience monday thru friday,21,90,The Brealfast Lounge,0,21,sucked
decent neufchatel or american dairy cheese Chicago Healthmaple Street,neufchatel or american dairy cheese,7,43,Chicago Healthmaple Street,43,70,decent
kaiserschmarrn mit apfelmus Kids Count Too Daycare tasty,kaiserschmarrn mit apfelmus,0,28,Kids Count Too Daycare,28,51,tasty
the veloute aux huitres I had at Dairy Queen was could have been better,veloute aux huitres,4,24,Dairy Queen,33,45,could have been better
I thought the frozen eclair ice cream and hot fudge at Client Dining Room was not that bad,frozen eclair ice cream and hot fudge,14,52,Client Dining Room,55,74,not that bad
my lettucejacob miller at Mcdonalds was acceptable,lettucejacob miller,3,23,Mcdonalds,26,36,acceptable
the blue point oysters in half shell I had at Hon Kee Rest Inc was acceptable,blue point oysters in half shell,4,37,Hon Kee Rest Inc,46,63,acceptable
Garibay Poultry allsopps ale good,allsopps ale,16,29,Garibay Poultry,0,16,good
my kraft soup at Churchs Chicken was okay,kraft soup,3,14,Churchs Chicken  ,-1,17,okay
the caloriewise meal lean freshly ground oz charbroiled beef patty with choice of fresh fruit cup or tossed salad I had at Old Jerusalem Restaurant was not that good,caloriewise meal  lean freshly ground  oz charbroiled beef patty with choice of fresh fruit cup or tossed salad,-1,111,Old Jerusalem Restaurant,123,148,not that good
the hamburger steak with potato salad I had at Milk More was okay,hamburger steak with potato salad,4,38,Milk    More,-1,12,okay
I thought the vermont puter kronsbeerensauce at Chant was good,vermont puter  kronsbeerensauce,-1,31,Chant,48,54,good
bad filet de halibut poche hollandaise Bc Irving Park Llc,filet de halibut poche hollandaise,4,39,Bc Irving Park Llc,39,58,bad
the le potage creme de cresson at Subway is could have been better,le potage creme de cresson,4,31,Subway,34,41,could have been better
the desert star dates I had at Hitch Elementary School was tasty,desert star dates,4,22,Hitch Elementary School,31,55,tasty
Tokyo Lunch Boxes Catering stinger aperitif not that bad,stinger aperitif,27,44,Tokyo Lunch Boxes  Catering,-1,27,not that bad
my gateau solferino at Bulldog Ale House was decent,gateau solferino,3,20,Bulldog Ale House,23,41,decent
I thought the werners half pint at Crater Food Liquor was sucked,werners half pint,14,32,Crater Food  Liquor,-1,19,sucked
I thought the fours glaces at th St Market Inc was tasty,fours glaces,14,27,th St Market Inc,30,47,tasty
kasseler rippe kalt mit kartoffelsalat Dunkin Donuts decent,kasseler rippe kalt mit kartoffelsalat,0,39,Dunkin Donuts,39,53,decent
the broiled kidneys with mushrooms at Diez Y is not that good,broiled kidneys with mushrooms,4,35,Diez Y ,38,46,not that good
I thought the bonbe praline at Wing Cheong Grocery Inc was could have been better,bonbe praline,14,28,Wing Cheong Grocery Inc,31,55,could have been better
the hawthorne water I had at Portage Park Food Spirits was not that good,hawthorne water,4,20,Portage Park Food  Spirits,-1,26,not that good
the savoyarde I had at L L Academy And Preschool was terrible,savoyarde,4,14,L  L Academy And Preschool,-1,26,terrible
the fried half philadelphia chicken at Salseria Grill Cantina is not that bad,fried half philadelphia chicken,4,36,Salseria Grill  Cantina,-1,23,not that bad
the crepe stuffed with beef mixed vegetables at Kidz Colony Daycare Inc is terrible,crepe stuffed with beef  mixed vegetables,-1,41,Kidz Colony Daycare Inc,48,72,terrible
the oxtail soup with madeira at M M Food Mart is not that good,oxtail soup with madeira,4,29,M  M  Food Mart,-1,15,not that good
the ragout fin uberbacken at Subway Sandwich is okay,ragout fin uberbacken,4,26,Subway Sandwich,29,45,okay
I thought the virginia ham steak at Renaissance Cafe was delicious,virginia ham steak,14,33,Renaissance Cafe,36,53,delicious
Belmont Donuts Inc herbs omelettes not that bad,herbs omelettes,19,35,Belmont Donuts Inc,0,19,not that bad
the little neck at Burrito Station is was bomb,little neck ,4,17,Burrito Station,19,35,was bomb
I thought the sirloin steak with mushrooms at Hilton Ohare was terrible,sirloin steak with mushrooms,14,43,Hilton Ohare,46,59,terrible
Bar Takito's oursinsla piece is decent,oursinsla piece,13,29,Bar Takito,0,11,decent
could have been better curry eggs Carniceria La Gloria,curry eggs,23,34,Carniceria La Gloria,34,55,could have been better
the potage reine I had at Nouveau Bistro was was bomb,potage reine,4,17,Nouveau Bistro,26,41,was bomb
my kir royal crmant dalsace mit cassis at Northstar Coffee was terrible,kir royal crmant dalsace mit cassis ,3,40,Northstar Coffee,42,59,terrible
Food Basket's bayerischer bauernpresssack mit zwiebelringen schwarz und weiss is was bomb,bayerischer bauernpresssack mit zwiebelringen schwarz und weiss,14,78, Food Basket,-1,12,was bomb
Phils Last Stand's les cepes a la provencale is not that good,les cepes a la provencale,19,45,Phils Last Stand,0,17,not that good
The Coffee Alley's grilled new york cut sirloin steak is acceptable,grilled new york cut sirloin steak,19,54,The Coffee Alley,0,17,acceptable
the pfannenschmaus at Chens Garden Ii Inc is bad,pfannenschmaus,4,19,Chens Garden Ii Inc,22,42,bad
the coppa romana at Taylor Made Deli is sucked,coppa romana ,4,18,Taylor Made Deli,20,37,sucked
Qdoba frischer krabbencocktail was bomb,frischer krabbencocktail,6,31,Qdoba,0,6,was bomb
was bomb melange eis Mr Elote,melange eis,9,21,Mr Elote,21,30,was bomb
I thought the stuffed breast of lamb at Popeyes Fried Chicken was not that bad,stuffed breast of lamb,14,37,Popeyes Fried Chicken,40,62,not that bad
the bourgogne I had at Yemen Restaurant was good,bourgogne ,4,15,Yemen Restaurant,23,40,good
could have been better black cap pudding nutmeg sauce The Balanced Kitchen,black cap pudding nutmeg sauce,23,54,The Balanced Kitchen,54,75,could have been better
Parlor Pizza Bar's pepper tomato chop suey with rice is acceptable,pepper tomato chop suey with rice,19,53,Parlor Pizza Bar,0,17,acceptable
the er etschtaler riesling wachstum jstimpfl tirol at Subway is not that good,er etschtaler riesling wachstum jstimpfl tirol,4,51,Subway,54,61,not that good
my fried chicken viennoise sauce remoulade at Noah Ark Food was not that good,fried chicken viennoise  sauce remoulade,-1,40,Noah Ark Food,46,60,not that good
Alden Nursing Center Princeton schladerer likr sucked,schladerer likr,31,47,Alden Nursing Center Princeton,0,31,sucked
the souffle a lamande I had at No Exit Cafe was okay,souffle a lamande,4,22,No Exit Cafe,31,44,okay
chivas regal years El Pablano Restaurant Bar decent,chivas regal  years,-1,19,El Pablano Restaurant  Bar,-1,26,decent
crecy with rice Till not that good,crecy with rice,0,16,Till,16,21,not that good
I thought the cocky lykas soup at California On rd was sucked,cocky lykas soup,14,31,California On rd,34,51,sucked
the mixed salad with cucumbers I had at Hutch was decent,mixed salad with cucumbers,4,31,Hutch,40,46,decent
mint chocolates Chestnut Grill Wine Bar sucked,mint chocolates,0,16,Chestnut Grill  Wine Bar,-1,24,sucked
could have been better crisp celery hearts and olives Salvation Army,crisp celery hearts and olives,23,54,Salvation Army,54,69,could have been better
the a morning treat our oatmeal like mother used to make just think of it cooked slowly for hours by the double boiler process before serving we take delight in its production and preparation and highly recommend it to our patrons I had at White Castle was could have been better,a morning treat our oatmeal like mother used to make just think of it cooked slowly for  hours by the double boiler process before serving we take delight in its production and preparation and highly recommend it to our patrons,-1,227,White Castle ,240,254,could have been better
North Kenwood Day Care Center Llc filetsteak oberkellner delicious,filetsteak oberkellner,34,57,North Kenwood Day Care Center Llc,0,34,delicious
my imported pickled herring in bouillon at Tovala was not that good,imported pickled herring in bouillon,3,40,Tovala,43,50,not that good
delicious kuckenragout mit spargel Leonas Pizzeria,kuckenragout mit spargel,10,35,Leonas Pizzeria,35,51,delicious
my cold veal pie in jelly at Ombudsman was decent,cold veal pie in jelly,3,26,Ombudsman,29,39,decent
curry lamb rice Dannys Fresh Market tasty,curry lamb rice,0,16,Dannys Fresh Market,16,36,tasty
Walmart van camps beans not that bad,van camps beans,8,24,Walmart ,0,9,not that bad
Caminito's dom prignon mot et chandon is bad, dom prignon mot et chandon,10,38,Caminito,0,9,bad
I thought the luigi cocktail at Huddle House was not that bad,luigi cocktail,14,29,Huddle House,32,45,not that bad
Creative Little Ones Academy Inc haut sauterne concannon white wine good,haut sauterne concannon white wine,33,68,Creative Little Ones Academy Inc,0,33,good
Trader Joes East's beerenfrchte in rum mariniert is not that bad,beerenfrchte in rum mariniert  ,-1,31,Trader Joes East,0,17,not that bad
the florida new green peas au beurre at Dunkin Donuts Inc is decent,florida new green peas au beurre,4,37,Dunkin Donuts Inc,40,58,decent
I thought the shashlick caucasian pickled filet of baby lamb broiled on a spit before an open fire at Hayt Elementary School was acceptable,shashlick caucasian pickled filet of baby lamb broiled on a spit before an open fire,14,99,Hayt Elementary School,102,125,acceptable
Polk Street Co english celery au jus good,english celery au jus,15,37,Polk Street Co,0,15,good
I thought the hollaendische austern at El Firulete Inc was could have been better,hollaendische austern,14,36,El Firulete Inc,39,55,could have been better
I thought the cold baked apple with cream at Tonys Burrito Mex Inc was decent,cold baked apple with cream,14,42,Tonys Burrito Mex Inc,45,67,decent
Immaculate Conception School's tartlets i is decent,tartlets i,31,42,Immaculate Conception School,0,29,decent
Hunan Wok ch latour pauillac tasty,ch latour pauillac ,10,30,Hunan Wok,0,10,tasty
potatoes served with above orders except boiled or poached eggs Jimmy Johns terrible,potatoes served with above orders except boiled or poached eggs,0,64,Jimmy Johns,64,76,terrible
Supermercado Castillos Inc beef tenderloin tips in whiskey served with fresh mushrooms and buttered noodles terrible,beef tenderloin tips in whiskey served with fresh mushrooms and buttered noodles,27,108,Supermercado  Castillos Inc,-1,27,terrible
the potatoes thorndike fried at Energy House is was bomb,potatoes thorndike fried,4,29,Energy House,32,45,was bomb
my shrimp stewed in cream at Bar Bar Black Sheep was good,shrimp stewed in cream,3,26,Bar Bar Black Sheep,29,49,good
hazel graham bread Forever Yogurt okay,hazel graham bread,0,19,Forever Yogurt ,19,35,okay
acceptable hot dogs Azucar Bar Grill,hot dogs,11,20,Azucar Bar  Grill,-1,17,acceptable
the braisierte hammelkeule sauce reforme at Guzman Grocery Inc is sucked,braisierte hammelkeule  sauce reforme,-1,37,Guzman Grocery Inc,44,63,sucked
Beef Burger mixed relish platter serves terrible,mixed relish platter serves ,12,41,Beef  Burger,-1,12,terrible
the any of the above list with jug of cream I had at Sally Food Mart was delicious,any of the above list with jug of cream,4,44,Sally Food Mart,53,69,delicious
my venison stew at J J Fast Food was good,venison stew,3,16,J  J Fast Food,-1,14,good
The Wit homemade icecream in a nut basket okay,homemade icecream in a nut basket,8,42,The Wit,0,8,okay
the oysters and clams saddle rocks broiled iwth cream I had at Seward Branch was good,oysters and clams saddle rocks broiled iwth cream,4,54,Seward Branch,63,77,good
the salade de concombres de serre I had at Jinya Ramen Bar was okay,salade de concombres de serre,4,34,Jinya Ramen Bar,43,59,okay
my salade nioise mit thunfisch und ei at Charcoal Delight Inc was acceptable,salade nioise mit thunfisch und ei,3,38,Charcoal Delight Inc,41,62,acceptable
Damenzos Inc's consomme de celeri aux quenelles is not that good,consomme de celeri aux quenelles,15,48,Damenzos Inc,0,13,not that good
my karpfen mit wurzeln at Pollo Feliz was good,karpfen mit wurzeln,3,23,Pollo Feliz,26,38,good
the printanniere royale I had at Wing Lee Co was was bomb,printanniere royale,4,24,Wing Lee Co,33,45,was bomb
